"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Jul-2023","EQ","721.00","729.95","708.15","714.00","721.00","719.10","722.16","778.90","502.00","6,97,909","50,40,03,307.75","24,100"
"14-Jul-2023","EQ","690.00","721.95","687.50","681.40","715.05","714.00","710.33","778.90","502.00","18,81,755","1,33,66,70,896.05","59,574"
"13-Jul-2023","EQ","678.00","685.00","672.30","671.15","684.65","681.40","679.33","778.90","502.00","4,26,841","28,99,67,128.85","22,603"
"12-Jul-2023","EQ","676.25","684.80","667.80","673.30","674.00","671.15","674.47","778.90","502.00","3,21,508","21,68,46,632.30","14,562"
"11-Jul-2023","EQ","688.50","688.90","672.10","683.85","674.00","673.30","678.45","778.90","502.00","3,98,047","27,00,56,738.55","21,989"
"10-Jul-2023","EQ","684.10","699.75","681.10","681.35","683.50","683.85","690.00","778.90","502.00","5,57,756","38,48,50,555.00","21,148"
"07-Jul-2023","EQ","696.70","700.85","675.90","696.70","683.40","681.35","685.98","778.90","502.00","4,76,390","32,67,92,993.55","18,631"
"06-Jul-2023","EQ","681.55","699.00","679.60","679.60","698.40","696.70","688.26","778.90","502.00","4,23,074","29,11,86,594.50","17,015"
"05-Jul-2023","EQ","694.35","699.70","677.70","692.75","678.50","679.60","687.67","778.90","502.00","4,00,824","27,56,32,956.25","15,556"
"04-Jul-2023","EQ","706.90","706.90","691.00","694.00","693.80","692.75","697.08","778.90","502.00","4,14,403","28,88,71,451.75","14,425"
"03-Jul-2023","EQ","698.90","716.00","690.40","693.20","698.70","694.00","705.37","778.90","502.00","10,48,640","73,96,82,483.25","31,809"
"30-Jun-2023","EQ","697.90","699.50","690.00","691.85","690.00","693.20","693.68","778.90","502.00","3,03,918","21,08,21,019.15","18,463"
"28-Jun-2023","EQ","689.10","698.50","687.80","685.65","694.80","691.85","693.84","778.90","502.00","4,85,064","33,65,54,634.10","15,479"
"27-Jun-2023","EQ","699.40","699.40","684.05","695.45","687.50","685.65","688.29","778.90","502.00","6,79,884","46,79,57,487.90","26,521"
"26-Jun-2023","EQ","680.90","705.00","678.10","674.00","695.00","695.45","695.46","778.90","502.00","32,62,483","2,26,89,38,317.90","94,400"
"23-Jun-2023","EQ","627.90","683.70","627.10","627.00","672.05","674.00","665.01","778.90","502.00","45,54,885","3,02,90,41,515.45","95,613"
"22-Jun-2023","EQ","625.00","631.80","624.00","623.20","626.95","627.00","628.39","778.90","502.00","7,30,528","45,90,56,399.95","21,097"
"21-Jun-2023","EQ","632.95","633.00","621.00","627.95","623.50","623.20","627.70","778.90","502.00","2,56,198","16,08,15,314.30","12,026"
